itr,err
2,  6.5806245836073404e-02
3,  6.3580038283106002e-02
4,  6.2016728030882588e-02
5,  6.0424208062268503e-02
6,  5.9171598081541203e-02
7,  5.7894749173841277e-02
8,  5.6835515357787157e-02
9,  5.5755171719578583e-02
10,  5.4830703750626701e-02
11,  5.3887331695407568e-02
12,  5.3063472748349765e-02
13,  5.2222375319332062e-02
14,  5.1477189837435273e-02
15,  5.0716083270368709e-02
16,  5.0034506971541506e-02
17,  4.9338086907305560e-02
18,  4.8709252604905176e-02
19,  4.8066477966305123e-02
20,  4.7482245229133059e-02
21,  4.6884844785592628e-02
22,  4.6338931376892996e-02
23,  4.5780521520735577e-02
24,  4.5267960723634766e-02
25,  4.4743494246593851e-02
26,  4.4260280155811065e-02
27,  4.3765685944664408e-02
28,  4.3308532852825467e-02
29,  4.2840471474012605e-02
30,  4.2406645500051063e-02
31,  4.1962338163819571e-02
32,  4.1549536278387124e-02
33,  4.1126641947054836e-02
34,  4.0732903052483949e-02
35,  4.0329428109099334e-02
36,  3.9953066373749568e-02
37,  3.9567296896724377e-02
38,  3.9206850897532494e-02
39,  3.8837300993502834e-02
40,  3.8491494316452546e-02
41,  3.8136866092422519e-02
42,  3.7804576387786504e-02
43,  3.7463728511888533e-02
44,  3.7143962888831775e-02
45,  3.6815885590703409e-02
46,  3.6507760833993923e-02
47,  3.6191555803331429e-02
48,  3.5894282306064770e-02
49,  3.5589146365589935e-02
50,  3.5302014959605728e-02
51,  3.5007226681045230e-02
52,  3.4729597751423757e-02
53,  3.4444506391142458e-02
54,  3.4175800809005334e-02
55,  3.3899817090186385e-02
56,  3.3639508606225936e-02
57,  3.3372096984494663e-02
58,  3.3119705805870918e-02
59,  3.2860377936799356e-02
60,  3.2615465270180957e-02
61,  3.2363774458243656e-02
62,  3.2125937847356595e-02
63,  3.1881474302225890e-02
64,  3.1650343623161221e-02
65,  3.1412730384665057e-02
66,  3.1187964389154943e-02
67,  3.0956853809576156e-02
68,  3.0738137127452679e-02
69,  3.0513207821149729e-02
70,  3.0300248349700323e-02
71,  3.0081202536743432e-02
72,  2.9873729157739184e-02
73,  2.9660290341481942e-02
74,  2.9458050917066998e-02
75,  2.9249961846097839e-02
76,  2.9052721453082440e-02
77,  2.8849742326456169e-02
78,  2.8657281695305913e-02
79,  2.8459188576767470e-02
80,  2.8271302707062324e-02
81,  2.8077886119523134e-02
82,  2.7894383048141503e-02
83,  2.7705446724190886e-02
84,  2.7526146426149818e-02
85,  2.7341506194114705e-02
86,  2.7166239599038442e-02
87,  2.6985722387175056e-02
88,  2.6814330496882022e-02
89,  2.6637773440841010e-02
90,  2.6470106535639013e-02
91,  2.6297356176482760e-02
92,  2.6133273099520484e-02
93,  2.5964184661355267e-02
94,  2.5803552171854729e-02
95,  2.5637988909650848e-02
96,  2.5480681097090844e-02
97,  2.5318513706537669e-02
98,  2.5164411458913440e-02
99,  2.5005517541237414e-02
100,  2.4854508061420560e-02
101,  2.4698771637015997e-02
102,  2.4550748002000359e-02
103,  2.4398059067509859e-02
104,  2.4252919825985864e-02
105,  2.4103173950143046e-02
106,  2.3960822754403640e-02
107,  2.3813920708531690e-02
108,  2.3674265977195633e-02
109,  2.3530113396753795e-02
110,  2.3393068005211490e-02
111,  2.3251575079217664e-02
112,  2.3117056075063799e-02
113,  2.2978137260591617e-02
114,  2.2846065601624038e-02
115,  2.2709639360903741e-02
116,  2.2579939673539044e-02
117,  2.2445928231471204e-02
118,  2.2318528587668585e-02
119,  2.2186857707806741e-02
120,  2.2061689418796371e-02
121,  2.1932288196074286e-02
122,  2.1809285621371369e-02
123,  2.1682086290035513e-02
124,  2.1561186660379567e-02
125,  2.1436124415756552e-02
126,  2.1317267668759188e-02
127,  2.1194280501630802e-02
128,  2.1077409129036339e-02
129,  2.0956437671527002e-02
130,  2.0841496577102717e-02
131,  2.0722483959093343e-02
132,  2.0609420326262451e-02
133,  2.0492312041447937e-02
134,  2.0381075209865533e-02
135,  2.0265818990658720e-02
136,  2.0156360341006825e-02
137,  2.0042906041573372e-02
138,  1.9935178887920037e-02
139,  1.9823478374695256e-02
140,  1.9717437863824641e-02
141,  1.9607444912926920e-02
142,  1.9503047930099607e-02
143,  1.9394718131109500e-02
144,  1.9291923211764185e-02
145,  1.9185213877387655e-02
146,  1.9083981124335531e-02
147,  1.8978851205513427e-02
148,  1.8879142211219280e-02
149,  1.8775552217284820e-02
150,  1.8677329990861753e-02
151,  1.8575241914382045e-02
152,  1.8478470812960356e-02
153,  1.8377848058930238e-02
154,  1.8282493723087646e-02
155,  1.8183301042172976e-02
156,  1.8089330335142081e-02
157,  1.7991533760693523e-02
158,  1.7898914711082733e-02
159,  1.7802481499665415e-02
160,  1.7711183247454111e-02
161,  1.7616081822659366e-02
162,  1.7526074568243597e-02
163,  1.7432274467566310e-02
164,  1.7343529423653099e-02
165,  1.7251001248236728e-02
166,  1.7163490594397340e-02
167,  1.7072205961463940e-02
168,  1.6985902801172473e-02
169,  1.6895834298967446e-02
170,  1.6810712618965200e-02
171,  1.6721833764061556e-02
172,  1.6637868395897443e-02
173,  1.6550153592714206e-02
174,  1.6467320176325143e-02
175,  1.6380744678725277e-02
176,  1.6299019627928464e-02
177,  1.6213559502772975e-02
178,  1.6132919972551427e-02
179,  1.6048552065092505e-02
180,  1.5968975920566113e-02
181,  1.5885677821572769e-02
182,  1.5807143608550681e-02
183,  1.5724893623065707e-02
184,  1.5647380540087331e-02
185,  1.5566157657723212e-02
