itr,err
2,  6.4943463126673540e-02
3,  6.2340119292488463e-02
4,  6.0133933882593048e-02
5,  5.8204015249178641e-02
6,  5.6480219936122858e-02
7,  5.4917606928710880e-02
8,  5.3485355701549997e-02
9,  5.2161251999761050e-02
10,  5.0928664643741878e-02
11,  4.9774763167644141e-02
12,  4.8689405785134227e-02
13,  4.7664413305947777e-02
14,  4.6693077008918824e-02
15,  4.5769814496091688e-02
16,  4.4889922554135007e-02
17,  4.4049395577215239e-02
18,  4.3244789481495342e-02
19,  4.2473117919116725e-02
20,  4.1731771893895021e-02
21,  4.1018456639300829e-02
22,  4.0331141435916207e-02
23,  3.9668019268997982e-02
24,  3.9027474067370845e-02
25,  3.8408053852974633e-02
26,  3.7808448548630129e-02
27,  3.7227471493507996e-02
28,  3.6664043936740810e-02
29,  3.6117181943362858e-02
30,  3.5585985269519574e-02
31,  3.5069627856918431e-02
32,  3.4567349667691288e-02
33,  3.4078449635833959e-02
34,  3.3602279554247681e-02
35,  3.3138238750060833e-02
36,  3.2685769427554301e-02
37,  3.2244352579242047e-02
38,  3.1813504382699656e-02
39,  3.1392773014458267e-02
40,  3.0981735823366347e-02
41,  3.0579996814835551e-02
42,  3.0187184404776107e-02
43,  2.9802949408177782e-02
44,  2.9426963232468545e-02
45,  2.9058916250178493e-02
46,  2.8698516329182307e-02
47,  2.8345487501978392e-02
48,  2.7999568758163434e-02
49,  2.7660512946526005e-02
50,  2.7328085775085303e-02
51,  2.7002064898975088e-02
52,  2.6682239087383548e-02
53,  2.6368407461842599e-02
54,  2.6060378799067408e-02
55,  2.5757970892294941e-02
56,  2.5461009965715407e-02
57,  2.5169330137133506e-02
58,  2.4882772924464742e-02
59,  2.4601186792089759e-02
60,  2.4324426733453593e-02
61,  2.4052353886624429e-02
62,  2.3784835179825214e-02
63,  2.3521743004216566e-02
64,  2.3262954911462425e-02
65,  2.3008353333828037e-02
66,  2.2757825324773138e-02
67,  2.2511262318189167e-02
68,  2.2268559904605752e-02
69,  2.2029617622849634e-02
70,  2.1794338765785279e-02
71,  2.1562630198900874e-02
72,  2.1334402190621420e-02
73,  2.1109568253342852e-02
74,  2.0888044994280007e-02
75,  2.0669751975310183e-02
76,  2.0454611581076254e-02
77,  2.0242548894686557e-02
78,  2.0033491580412108e-02
79,  1.9827369772844317e-02
80,  1.9624115972025829e-02
81,  1.9423664944115307e-02
82,  1.9225953627190810e-02
83,  1.9030921041831402e-02
84,  1.8838508206152429e-02
85,  1.8648658054999222e-02
86,  1.8461315363029810e-02
87,  1.8276426671443548e-02
88,  1.8093940218130950e-02
89,  1.7913805871041973e-02
90,  1.7735975064583520e-02
91,  1.7560400738876242e-02
92,  1.7387037281711596e-02
93,  1.7215840473061832e-02
94,  1.7046767432009259e-02
95,  1.6879776565968310e-02
96,  1.6714827522084204e-02
97,  1.6551881140699474e-02
98,  1.6390899410787522e-02
99,  1.6231845427256635e-02
100,  1.6074683350038310e-02
101,  1.5919378364873896e-02
102,  1.5765896645721884e-02
103,  1.5614205318712601e-02
104,  1.5464272427579187e-02
105,  1.5316066900499191e-02
106,  1.5169558518284606e-02
107,  1.5024717883860688e-02
108,  1.4881516392977563e-02
109,  1.4739926206100295e-02
110,  1.4599920221428397e-02
111,  1.4461472048994535e-02
112,  1.4324555985796900e-02
113,  1.4189146991922282e-02
114,  1.4055220667616717e-02
115,  1.3922753231264066e-02
116,  1.3791721498235113e-02
117,  1.3662102860568983e-02
118,  1.3533875267454335e-02
119,  1.3407017206474947e-02
120,  1.3281507685588714e-02
121,  1.3157326215809888e-02
122,  1.3034452794564539e-02
123,  1.2912867889692122e-02
124,  1.2792552424065668e-02
125,  1.2673487760805893e-02
126,  1.2555655689063746e-02
127,  1.2439038410348855e-02
128,  1.2323618525380650e-02
129,  1.2209379021441247e-02
130,  1.2096303260208791e-02
131,  1.1984374966052341e-02
132,  1.1873578214769169e-02
133,  1.1763897422745065e-02
134,  1.1655317336522962e-02
135,  1.1547823022760301e-02
136,  1.1441399858561291e-02
137,  1.1336033522168288e-02
138,  1.1231709983996585e-02
139,  1.1128415498000760e-02
140,  1.1026136593356941e-02
141,  1.0924860066449436e-02
142,  1.0824572973149232e-02
143,  1.0725262621372364e-02
144,  1.0626916563906652e-02
145,  1.0529522591496828e-02
146,  1.0433068726176428e-02
147,  1.0337543214837664e-02
148,  1.0242934523029157e-02
149,  1.0149231328972410e-02
150,  1.0056422517788495e-02
151,  9.9644971759265330e-03
152,  9.8734445857857813e-03
153,  9.7832542205240139e-03
154,  9.6939157390441497e-03
155,  9.6054189811530088e-03
156,  9.5177539628846248e-03
157,  9.4309108719819960e-03
158,  9.3448800635312513e-03
159,  9.2596520557416129e-03
160,  9.1752175258664158e-03
161,  9.0915673062589020e-03
162,  9.0086923805579831e-03
163,  8.9265838799987302e-03
164,  8.8452330798431730e-03
165,  8.7646313959262104e-03
166,  8.6847703813128160e-03
167,  8.6056417230616980e-03
168,  8.5272372390922252e-03
169,  8.4495488751496917e-03
170,  8.3725687018658262e-03
171,  8.2962889119110646e-03
172,  8.2207018172347820e-03
173,  8.1457998463902673e-03
174,  8.0715755419415360e-03
175,  7.9980215579488704e-03
176,  7.9251306575298022e-03
177,  7.8528957104934266e-03
178,  7.7813096910449454e-03
179,  7.7103656755577723e-03
180,  7.6400568404111236e-03
181,  7.5703764598908365e-03
182,  7.5013179041501085e-03
183,  7.4328746372295884e-03
184,  7.3650402151334759e-03
185,  7.2978082839601647e-03
186,  7.2311725780853202e-03
187,  7.1651269183958368e-03
188,  7.0996652105726529e-03
189,  7.0347814434206435e-03
190,  6.9704696872443048e-03
191,  6.9067240922673686e-03
192,  6.8435388870948704e-03
193,  6.7809083772165657e-03
194,  6.7188269435496783e-03
195,  6.6572890410202057e-03
196,  6.5962891971814560e-03
197,  6.5358220108679647e-03
198,  6.4758821508845632e-03
199,  6.4164643547287127e-03
200,  6.3575634273451923e-03
201,  6.2991742399124062e-03
202,  6.2412917286587318e-03
203,  6.1839108937086313e-03
204,  6.1270267979567535e-03
205,  6.0706345659699915e-03
206,  6.0147293829158691e-03
207,  5.9593064935171101e-03
208,  5.9043612010307809e-03
209,  5.8498888662521908e-03
210,  5.7958849065419130e-03
211,  5.7423447948757173e-03
212,  5.6892640589166895e-03
213,  5.6366382801085971e-03
214,  5.5844630927901892e-03
215,  5.5327341833295730e-03
216,  5.4814472892782198e-03
217,  5.4305981985437752e-03
218,  5.3801827485816401e-03
219,  5.3301968256040414e-03
220,  5.2806363638068570e-03
221,  5.2314973446129769e-03
222,  5.1827757959324290e-03
223,  5.1344677914379726e-03
224,  5.0865694498566571e-03
225,  5.0390769342761122e-03
226,  4.9919864514655658e-03
227,  4.9452942512110583e-03
228,  4.8989966256646148e-03
229,  4.8530899087066886e-03
230,  4.8075704753218198e-03
231,  4.7624347409869830e-03
232,  4.7176791610724616e-03
233,  4.6733002302545030e-03
234,  4.6292944819401405e-03
235,  4.5856584877030362e-03
