itr,err
2,  6.8589746769609439e-02
3,  6.7038989507492125e-02
4,  6.5690173407391736e-02
5,  6.4488094268480331e-02
6,  6.3398182087334831e-02
7,  6.2397359169053528e-02
8,  6.1469404832240615e-02
9,  6.0602436940941772e-02
10,  5.9787456440017366e-02
11,  5.9017459882211035e-02
12,  5.8286872877080655e-02
13,  5.7591174000124097e-02
14,  5.6926636674880488e-02
15,  5.6290146887533116e-02
16,  5.5679071238959127e-02
17,  5.5091159359864868e-02
18,  5.4524470366974449e-02
19,  5.3977316506841171e-02
20,  5.3448219325910519e-02
21,  5.2935875127584908e-02
22,  5.2439127421566666e-02
23,  5.1956944711454359e-02
24,  5.1488402409539488e-02
25,  5.1032667979358640e-02
26,  5.0588988629232785e-02
27,  5.0156681041471904e-02
28,  4.9735122740521179e-02
29,  4.9323744791527943e-02
30,  4.8922025587140559e-02
31,  4.8529485530761911e-02
32,  4.8145682463163718e-02
33,  4.7770207709326232e-02
34,  4.7402682645755256e-02
35,  4.7042755706944744e-02
36,  4.6690099764251640e-02
37,  4.6344409822108162e-02
38,  4.6005400985866016e-02
39,  4.5672806663147894e-02
40,  4.5346376966743908e-02
41,  4.5025877292134253e-02
42,  4.4711087046868492e-02
43,  4.4401798512453877e-02
44,  4.4097815822256380e-02
45,  4.3798954041286746e-02
46,  4.3505038335734797e-02
47,  4.3215903221786416e-02
48,  4.2931391884668657e-02
49,  4.2651355560066884e-02
50,  4.2375652971074457e-02
51,  4.2104149814703951e-02
52,  4.1836718292733631e-02
53,  4.1573236682301715e-02
54,  4.1313588942210870e-02
55,  4.1057664351380620e-02
56,  4.0805357176300190e-02
57,  4.0556566364688650e-02
58,  4.0311195262884313e-02
59,  4.0069151354755785e-02
60,  3.9830346020166114e-02
61,  3.9594694311232373e-02
62,  3.9362114744802362e-02
63,  3.9132529109739238e-02
64,  3.8905862287740407e-02
65,  3.8682042086549670e-02
66,  3.8460999084531884e-02
67,  3.8242666485677215e-02
68,  3.8026979984194409e-02
69,  3.7813877637929254e-02
70,  3.7603299749916476e-02
71,  3.7395188757434090e-02
72,  3.7189489127990784e-02
73,  3.6986147261721759e-02
74,  3.6785111399719433e-02
75,  3.6586331537862629e-02
76,  3.6389759345748000e-02
77,  3.6195348090359097e-02
78,  3.6003052564138820e-02
79,  3.5812829017159792e-02
80,  3.5624635093110688e-02
81,  3.5438429768839409e-02
82,  3.5254173297215106e-02
83,  3.5071827153088653e-02
84,  3.4891353982149792e-02
85,  3.4712717552491966e-02
86,  3.4535882708713418e-02
87,  3.4360815328393447e-02
88,  3.4187482280794892e-02
89,  3.4015851387656670e-02
90,  3.3845891385947124e-02
91,  3.3677571892461192e-02
92,  3.3510863370149448e-02
93,  3.3345737096078520e-02
94,  3.3182165130925825e-02
95,  3.3020120289920629e-02
96,  3.2859576115148635e-02
97,  3.2700506849142233e-02
98,  3.2542887409684751e-02
99,  3.2386693365761055e-02
100,  3.2231900914591965e-02
101,  3.2078486859692487e-02
102,  3.1926428589899324e-02
103,  3.1775704059316644e-02
104,  3.1626291768129582e-02
105,  3.1478170744242702e-02
106,  3.1331320525697655e-02
107,  3.1185721143833049e-02
108,  3.1041353107146497e-02
109,  3.0898197385824205e-02
110,  3.0756235396905501e-02
111,  3.0615448990049480e-02
112,  3.0475820433875301e-02
113,  3.0337332402847878e-02
114,  3.0199967964682987e-02
115,  3.0063710568246155e-02
116,  2.9928544031922886e-02
117,  2.9794452532438027e-02
118,  2.9661420594102407e-02
119,  2.9529433078468177e-02
120,  2.9398475174374047e-02
121,  2.9268532388361326e-02
122,  2.9139590535446160e-02
123,  2.9011635730230606e-02
124,  2.8884654378337704e-02
125,  2.8758633168157188e-02
126,  2.8633559062887285e-02
127,  2.8509419292859724e-02
128,  2.8386201348137529e-02
129,  2.8263892971371319e-02
130,  2.8142482150905514e-02
131,  2.8021957114122600e-02
132,  2.7902306321015927e-02
133,  2.7783518457981802e-02
134,  2.7665582431821559e-02
135,  2.7548487363945325e-02
136,  2.7432222584768868e-02
137,  2.7316777628296381e-02
138,  2.7202142226881224e-02
139,  2.7088306306157998e-02
140,  2.6975259980138899e-02
141,  2.6862993546467939e-02
142,  2.6751497481827324e-02
143,  2.6640762437489616e-02
144,  2.6530779235010057e-02
145,  2.6421538862054304e-02
146,  2.6313032468356014e-02
147,  2.6205251361799024e-02
148,  2.6098187004620681e-02
149,  2.5991831009730217e-02
150,  2.5886175137139558e-02
151,  2.5781211290501042e-02
152,  2.5676931513748742e-02
153,  2.5573327987840455e-02
154,  2.5470393027594806e-02
155,  2.5368119078621933e-02
156,  2.5266498714343669e-02
157,  2.5165524633099536e-02
158,  2.5065189655336544e-02
159,  2.4965486720879622e-02
160,  2.4866408886278550e-02
161,  2.4767949322231260e-02
162,  2.4670101311078451e-02
163,  2.4572858244368733e-02
164,  2.4476213620490440e-02
165,  2.4380161042370081e-02
166,  2.4284694215232216e-02
167,  2.4189806944421733e-02
168,  2.4095493133283973e-02
169,  2.4001746781102413e-02
170,  2.3908561981091432e-02
171,  2.3815932918442018e-02
172,  2.3723853868419638e-02
173,  2.3632319194511635e-02
174,  2.3541323346622869e-02
175,  2.3450860859318603e-02
176,  2.3360926350112259e-02
177,  2.3271514517797198e-02
178,  2.3182620140821047e-02
179,  2.3094238075701354e-02
180,  2.3006363255480399e-02
181,  2.2918990688219936e-02
182,  2.2832115455532102e-02
183,  2.2745732711147510e-02
184,  2.2659837679518437e-02
185,  2.2574425654455943e-02
186,  2.2489491997800246e-02
187,  2.2405032138123282e-02
188,  2.2321041569462609e-02
189,  2.2237515850085442e-02
190,  2.2154450601281836e-02
191,  2.2071841506186983e-02
192,  2.1989684308630780e-02
193,  2.1907974812014421e-02
194,  2.1826708878213145e-02
195,  2.1745882426504413e-02
196,  2.1665491432520487e-02
197,  2.1585531927225649e-02
198,  2.1505999995915664e-02
199,  2.1426891777241001e-02
200,  2.1348203462251393e-02
201,  2.1269931293461757e-02
202,  2.1192071563939433e-02
203,  2.1114620616411249e-02
204,  2.1037574842390435e-02
205,  2.0960930681322747e-02
206,  2.0884684619751050e-02
207,  2.0808833190498303e-02
208,  2.0733372971867985e-02
209,  2.0658300586861810e-02
210,  2.0583612702414565e-02
211,  2.0509306028644085e-02
212,  2.0435377318118803e-02
213,  2.0361823365139239e-02
214,  2.0288641005035433e-02
215,  2.0215827113478805e-02
216,  2.0143378605808324e-02
217,  2.0071292436370604e-02
218,  1.9999565597873525e-02
