itr,err
2,  6.8666926015576529e-02
3,  6.7251255626213660e-02
4,  6.6032469261919163e-02
5,  6.4951322413945661e-02
6,  6.3973285561683191e-02
7,  6.3076174714613950e-02
8,  6.2244745717994258e-02
9,  6.1467993377031509e-02
10,  6.0737666765133237e-02
11,  6.0047392267868878e-02
12,  5.9392125668796106e-02
13,  5.8767793998503161e-02
14,  5.8171052562495128e-02
15,  5.7599114897069099e-02
16,  5.7049630573567288e-02
17,  5.6520595364294254e-02
18,  5.6010283877851015e-02
19,  5.5517198157018048e-02
20,  5.5040027847779983e-02
21,  5.4577618907780755e-02
22,  5.4128948718534985e-02
23,  5.3693106069468560e-02
24,  5.3269274896899900e-02
25,  5.2856720951551243e-02
26,  5.2454780774854069e-02
27,  5.2062852513548821e-02
28,  5.1680388211345761e-02
29,  5.1306887297396436e-02
30,  5.0941891052075194e-02
31,  5.0584977876600018e-02
32,  5.0235759228278359e-02
33,  4.9893876110390180e-02
34,  4.9558996026948930e-02
35,  4.9230810329256275e-02
36,  4.8909031894364782e-02
37,  4.8593393086088635e-02
38,  4.8283643957649322e-02
39,  4.7979550661860000e-02
40,  4.7680894040302013e-02
41,  4.7387468367466663e-02
42,  4.7099080229561614e-02
43,  4.6815547520747028e-02
44,  4.6536698542115618e-02
45,  4.6262371190850846e-02
46,  4.5992412228778222e-02
47,  4.5726676621009869e-02
48,  4.5465026936649444e-02
49,  4.5207332804585720e-02
50,  4.4953470418312207e-02
51,  4.4703322084481682e-02
52,  4.4456775810568248e-02
53,  4.4213724927574617e-02
54,  4.3974067744213766e-02
55,  4.3737707229415945e-02
56,  4.3504550720375207e-02
57,  4.3274509653671987e-02
58,  4.3047499317280462e-02
59,  4.2823438621512742e-02
60,  4.2602249887162519e-02
61,  4.2383858649296897e-02
62,  4.2168193475307231e-02
63,  4.1955185795971801e-02
64,  4.1744769748413471e-02
65,  4.1536882029943142e-02
66,  4.1331461761882085e-02
67,  4.1128450362543305e-02
68,  4.0927791428630116e-02
69,  4.0729430624380544e-02
70,  4.0533315577848950e-02
71,  4.0339395783770653e-02
72,  4.0147622512506996e-02
73,  3.9957948724611600e-02
74,  3.9770328990600831e-02
75,  3.9584719415544541e-02
76,  3.9401077568130473e-02
77,  3.9219362413879522e-02
78,  3.9039534252221612e-02
79,  3.8861554657161845e-02
80,  3.8685386421289054e-02
81,  3.8510993502901367e-02
82,  3.8338340976038401e-02
83,  3.8167394983226834e-02
84,  3.7998122690763469e-02
85,  3.7830492246368558e-02
86,  3.7664472739059859e-02
87,  3.7500034161106768e-02
88,  3.7337147371932340e-02
89,  3.7175784063845287e-02
90,  3.7015916729488611e-02
91,  3.6857518630900608e-02
92,  3.6700563770092953e-02
93,  3.6545026861054881e-02
94,  3.6390883303101328e-02
95,  3.6238109155484810e-02
96,  3.6086681113201423e-02
97,  3.5936576483920943e-02
98,  3.5787773165978171e-02
99,  3.5640249627368545e-02
100,  3.5493984885689271e-02
101,  3.5348958488977483e-02
102,  3.5205150497395449e-02
103,  3.5062541465717641e-02
104,  3.4921112426577638e-02
105,  3.4780844874434821e-02
106,  3.4641720750223509e-02
107,  3.4503722426648412e-02
108,  3.4366832694096835e-02
109,  3.4231034747130504e-02
110,  3.4096312171534415e-02
111,  3.3962648931891187e-02
112,  3.3830029359655664e-02
113,  3.3698438141705513e-02
114,  3.3567860309346789e-02
115,  3.3438281227748959e-02
116,  3.3309686585792579e-02
117,  3.3182062386306971e-02
118,  3.3055394936683455e-02
119,  3.2929670839842731e-02
120,  3.2804876985543477e-02
121,  3.2681000542014137e-02
122,  3.2558028947895543e-02
123,  3.2435949904478553e-02
124,  3.2314751368224329e-02
125,  3.2194421543555611e-02
126,  3.2074948875905743e-02
127,  3.1956322045015313e-02
128,  3.1838529958464763e-02
129,  3.1721561745434203e-02
130,  3.1605406750679910e-02
131,  3.1490054528718454e-02
132,  3.1375494838209769e-02
133,  3.1261717636531891e-02
134,  3.1148713074537301e-02
135,  3.1036471491486486e-02
136,  3.0924983410148838e-02
137,  3.0814239532065031e-02
138,  3.0704230732965972e-02
139,  3.0594948058339105e-02
140,  3.0486382719139317e-02
141,  3.0378526087636731e-02
142,  3.0271369693396631e-02
143,  3.0164905219387517e-02
144,  3.0059124498210181e-02
145,  2.9954019508445253e-02
146,  2.9849582371114108e-02
147,  2.9745805346247999e-02
148,  2.9642680829562711e-02
149,  2.9540201349234019e-02
150,  2.9438359562770841e-02
151,  2.9337148253981472e-02
152,  2.9236560330030786e-02
153,  2.9136588818584119e-02
154,  2.9037226865035553e-02
155,  2.8938467729817167e-02
156,  2.8840304785785715e-02
157,  2.8742731515686109e-02
158,  2.8645741509686011e-02
159,  2.8549328462982002e-02
160,  2.8453486173472698e-02
161,  2.8358208539498064e-02
162,  2.8263489557641228e-02
163,  2.8169323320592382e-02
164,  2.8075704015070393e-02
165,  2.7982625919802894e-02
166,  2.7890083403560917e-02
167,  2.7798070923246508e-02
168,  2.7706583022032796e-02
169,  2.7615614327553332e-02
170,  2.7525159550139892e-02
171,  2.7435213481107289e-02
172,  2.7345770991082836e-02
173,  2.7256827028380441e-02
174,  2.7168376617416036e-02
175,  2.7080414857164902e-02
176,  2.6992936919658896e-02
177,  2.6905938048521129e-02
178,  2.6819413557538922e-02
179,  2.6733358829272698e-02
180,  2.6647769313699991e-02
181,  2.6562640526892993e-02
182,  2.6477968049729822e-02
183,  2.6393747526637042e-02
184,  2.6309974664363661e-02
185,  2.6226645230784731e-02
186,  2.6143755053734993e-02
187,  2.6061300019869213e-02
188,  2.5979276073552177e-02
189,  2.5897679215773489e-02
190,  2.5816505503088900e-02
191,  2.5735751046587527e-02
192,  2.5655412010881944e-02
193,  2.5575484613123461e-02
194,  2.5495965122039509e-02
195,  2.5416849856994019e-02
196,  2.5338135187068813e-02
197,  2.5259817530166862e-02
198,  2.5181893352135887e-02
