itr,res
2,  8.0839242250016798e-03
3,  6.8840824445423644e-03
4,  6.0053148312303991e-03
5,  5.3182528500853726e-03
6,  4.7559757460516302e-03
7,  4.2809915016333369e-03
8,  3.8707458927169491e-03
9,  3.5114006105469151e-03
10,  3.1938628229452727e-03
11,  2.9099790049312876e-03
12,  2.6547100828904543e-03
13,  2.4248526257415626e-03
14,  2.2180995563436615e-03
15,  2.0306121091063552e-03
16,  1.8610289398388997e-03
17,  1.7083043455940500e-03
18,  1.5695851528833194e-03
19,  1.4452769021712918e-03
20,  1.3421643411338656e-03
21,  1.2503095202592547e-03
22,  1.1711831258578846e-03
23,  1.0995642374031771e-03
24,  1.0345238291818515e-03
25,  9.8009954589094888e-04
26,  9.3013148726476462e-04
27,  8.8606520176634214e-04
28,  8.4415626491587427e-04
29,  8.0550141602935856e-04
30,  7.6966909193552609e-04
31,  7.3556673700146214e-04
32,  7.0433445572456262e-04
33,  6.7404486352364782e-04
34,  6.4629313064105910e-04
35,  6.1920107083038496e-04
36,  5.9406845669658756e-04
37,  5.6967124262152031e-04
38,  5.4648705203334889e-04
39,  5.2321151007452807e-04
40,  5.0056142385564856e-04
41,  4.7928438774043851e-04
42,  4.5824632965088709e-04
43,  4.3835848996318051e-04
44,  4.1931859031672976e-04
45,  4.0097439880678313e-04
46,  3.8401210324678849e-04
47,  3.6755808106088531e-04
48,  3.5265577744708772e-04
49,  3.3832207801951067e-04
50,  3.2544497017365889e-04
51,  3.1344397214298048e-04
52,  3.0255113087189321e-04
53,  2.9301189975568519e-04
54,  2.8519342937170084e-04
55,  2.7881215605997205e-04
56,  2.7258799305423891e-04
57,  2.6651007394534233e-04
58,  2.6056933508889732e-04
59,  2.5475821120397055e-04
60,  2.4907037774826436e-04
61,  2.4350053366008491e-04
62,  2.3804421874097851e-04
63,  2.3269766062909911e-04
64,  2.2745764695297540e-04
65,  2.2232141884313383e-04
66,  2.1728658250748980e-04
67,  2.1235103604560267e-04
68,  2.0751290908903645e-04
69,  2.0277051321237414e-04
70,  1.9812230137011762e-04
71,  1.9356683488052205e-04
72,  1.8910275670622166e-04
73,  1.8472876997586196e-04
74,  1.8044362085784264e-04
75,  1.7624608503724552e-04
76,  1.7213495716782124e-04
77,  1.6810904277129874e-04
78,  1.6416715214188552e-04
79,  1.6030809588702706e-04
80,  1.5653068179556268e-04
81,  1.5283371277648609e-04
82,  1.4921598565437004e-04
83,  1.4567629064424862e-04
84,  1.4221341135900142e-04
85,  1.3882612522824882e-04
86,  1.3551320422911260e-04
87,  1.3227341584697906e-04
88,  1.2910552420005751e-04
89,  1.2600829127323577e-04
90,  1.2298047821801317e-04
91,  1.2002084668349754e-04
92,  1.1712816015073667e-04
93,  1.1430118524879718e-04
94,  1.1153869303589902e-04
95,  1.0883946023278394e-04
96,  1.0620227039909513e-04
97,  1.0362591504618250e-04
98,  1.0110919468178457e-04
99,  9.8650919784147703e-05
100,  9.6249911704239237e-05
101,  9.3905003496174287e-05
102,  9.1615040676644761e-05
103,  8.9378881914751795e-05
104,  8.7195399654651463e-05
105,  8.5063480673195645e-05
106,  8.2982026575391152e-05
107,  8.0949954230678876e-05
108,  7.8966196153126134e-05
109,  7.7029700828425523e-05
110,  7.5139432991150977e-05
111,  7.3294373855035938e-05
112,  7.1493521299565365e-05
113,  6.9735890015708467e-05
114,  6.8020511613760013e-05
115,  6.6346434695841990e-05
116,  6.4712724896044151e-05
117,  6.3118464890361546e-05
118,  6.1562754379140187e-05
119,  6.0044710043979657e-05
120,  5.8563465481625495e-05
121,  5.7118171116540531e-05
